apartment_type,bedroom,bathroom,toilet,location,price
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ilaje Off Mobile Road, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Soluyi, Gbagada, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Dolphin Estate Extension, Ikoyi, Lagos",7000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Elf Bustop Petrocam, Lekki Phase 1, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Westwood Estate, Badore, Ajah, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Alternative, Lekki Phase 2, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikota Gra, Ikota, Lekki, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ikota, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Babatunde Lawal Street, Psychiatric Bus Stop, Igbo Olomu Road, Isawo, Ikorodu, Lagos",200000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Deeper Life Road, Ogombo, Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo Agungi/ Chevron, Lekki, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ogidan, Sangotedo, Ajah, Lagos",2000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Ikoyi, Lagos",25000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",5000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Osapa London, Lekki, Lagos",2000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Alpha Beach Road, Igbo Efon, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Estate, Ikoyi, Lagos",15500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ogba, Ikeja, Lagos",500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Thomas Estate, Ajah, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thomas Estate, Ajah, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Alagomeji, Yaba, Lagos",3500080
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Victoria Island (VI), Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Alpha Beach, Igbo Efon, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Unity Estate, Badore, Ajah, Lagos",550000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Horizon Estate,, Ikate Elegushi, Lekki, Lagos",8000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Green Ville Estate, Badore, Ajah, Lagos",450000
4 bedroom flat / apartment for rent,4.0,5.0,5.0,"  Osapa London, Lekki Phase 2, Lekki, Lagos",6000000
5 bedroom flat / apartment for rent,5.0,6.0,6.0,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",6500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Aina Obembe, Oluwaga, Ipaja, Lagos",700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Salvation Estate, Badore, Ajah, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  By Studio 24, Lekki Phase 1, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",20000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  GRA Phase 1, Magodo, Lagos",2200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Spa Road, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",4000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Kizz Daniel Street, Ikate Elegushi, Lekki, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Unity Estate, By Coperative Villa, Badore, Ajah, Lagos",1600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Cooperative Villa Road, Badore, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Unity Estate, By Coperative Villa, Badore, Ajah, Lagos",1400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Unity Estate, By Coperative Villa, Badore, Ajah, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Salvation Estate, Langbasa Road, Ado, Ajah, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Unity Estate, Cooperative Villa, Badore, Ajah, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Unity Estate, Cooperative Village, Badore, Ajah, Lagos",950000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Seaside Estate, Badore, Ajah, Lagos",700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Lekki, Lagos",4000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Unity Estate, Badore Road, Badore, Ajah, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",12000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Lekki, Lagos",4000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Badore, Ajah, Lagos",850000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Chevron Drive, Lekki Phase 1, Lekki, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Alternative, Lekki Phase 2, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Daramola Street, GRA Phase 1, Magodo, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Roi Estate, Okun-Ajah, Ajah, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Thomas Estate, Ajah, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Off Bisola Durosinmi Etti, Lekki Phase 1, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Awolowo Road, Ikoyi, Lagos",12000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Vgc Estate, VGC, Lekki, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Castle Rock Drive, Osapa, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Bashiru Shittu Avenue, GRA Phase 2, Magodo, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Salvation Estate, Badore, Ajah, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Ligali Ayorinde Street, Victoria Island (VI), Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  GRA Phase 2, Magodo, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Bera Estate Chevron, Lekki, Lagos",3300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  GRA Phase 2, Magodo, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  GRA Phase 2, Magodo, Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,1.0,"  Shomolu, Lagos",1000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ologolo, Lekki, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Hakeem Dickson, Lekki Phase 1, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",2700000
2 bedroom flat / apartment for rent,2.0,2.0,6.0,"  Ocean Palm Estate, Sangotedo, Ajah, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Chevron, Lekki, Lagos",2000000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Badore, Ajah, Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Victoria Island (VI), Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Salem, Ikate, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Williams Estate, Surulere, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  GRA Phase 1, Magodo, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Agungi, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Alhaji Ganiu Adeoye Street, Ogombo, Ajah, Lagos",950000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate, Lekki, Lagos",4000000
4 bedroom flat / apartment for rent,4.0,5.0,5.0,"  Lekki Palm City, Lekki Phase 2, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Queens Drive, Ikoyi, Lagos",9000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Badore, Ajah, Lagos",700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Williams Estate Off, Bode Thomas, Surulere, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Osborne, Ikoyi, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Agungi, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Dominion Estate ,42 Micheal AjanakuÂ avenue Baruwa, Ipaja, Lagos",500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ikota, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Salem, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Victoria Island (VI), Lagos",16000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikota Villa Estate, Ikota, Lekki, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Addo Road, Ajah, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Seaside Estate, Badore, Ajah, Lagos",900000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Higher Ground Estate, Sangotedo, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Victoria Island (VI), Lagos",8000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Adeola Odeku, Victoria Island (VI), Lagos",13000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",13000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Freedom Way, Ikate Elegushi, Lekki, Lagos",2000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  F Forte Estate, Ado, Ajah, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Alternative Route, Lekki, Lagos",2700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Rock Stone Villa Estate, Badore, Ajah, Lagos",400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Rock Stone Villa Estate, Badore, Ajah, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Harmony Estate, Ajah, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Southpoint Estate, By Orchid Hotel, Lekki, Lagos",2000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Lekki County, Megamound, Ikota, Lekki, Lagos",1300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Oral Estate, Lekki, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Seaside, Badore, Ajah, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Adekoya Estate, Ogba, Ikeja, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",18000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",10000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  P And T Estate, Ipaja, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Atlantic View Estate, Alpha Beach Road, Igbo Efon, Lekki, Lagos",800000
4 bedroom flat / apartment for rent,4.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",25000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Canal West Estate, Osapa, Lekki, Lagos",2300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Canal West Estate By Shoprite, Osapa, Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ocean Palm Estate, Sangotedo, Ajah, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid Road,, Lafiaji, Lekki, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Peace Land Estate Ogombo Off Abraham Adesanya Estate, Ajah, Lagos",1300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Spring Bay Estate Off Freedom Way, Ikate, Lekki, Lagos",2000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Osapa, Lekki, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Value County Estate By Blenco Shopping Mall Opposite Sky Mall, Ajah, Lagos",2200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Awuse Estate, Opebi, Ikeja, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron Tollgate, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Off Lawanson Road, Surulere, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Close To Bus-stop, Awoyaya, Ibeju Lekki, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Around Abraham Adesanya, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Igbo Efon, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Maryland, Lagos",4500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekki County ., Lekki, Lagos",1000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",450000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Victoria Island (VI), Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Chevron Drive, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Blenco, Sangotedo, Ajah, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Thera Annex, Sangotedo, Ajah, Lagos",1900000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thera Annex, Sangotedo, Ajah, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",8000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Westwood Estate, Off Badore Road, Badore, Ajah, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Peace Estate, Off Badore Road, Badore, Ajah, Lagos",700000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Dunvale Court, Orchid Road, Lekki, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Westwood Estate, Off Badore Road, Badore, Ajah, Lagos",800000
3 bedroom flat / apartment for rent,3.0,2.0,2.0,"  Ado - Lamgbasa Road, Ado, Ajah, Lagos",1100000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Majeck, Sangotedo, Ajah, Lagos",1400000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Majeck, Sangotedo, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  GRA Phase 1, Magodo, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Majeck, Sangotedo, Ajah, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Majeck, Sangotedo, Ajah, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Akonbi Crescent,, Surulere, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  GRA Phase 1, Magodo, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid Road, Lekki, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Sea Side Estate, Off Badore Road, Badore, Ajah, Lagos",700000
Flat / apartment for rent,1.0,1.0,4.0,"  Roxbury Estate, Ikota, Lekki, Lagos",1500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Admiralty Way, Lekki Phase 1, Lekki, Lagos",2200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Olowora, Magodo, Lagos",900000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Roxbury Estate, Ikota, Lekki, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,5.0,"  Atlantic View Estate, By New Road, Before Chevron, Ologolo, Lekki, Lagos",900000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Osapa, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ologolo, Lekki, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,6.0,"  Badore, Ajah, Lagos",400000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Yaba, Lagos",1800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Spg Road, Ologolo, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Langbasa Road, Ado, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",6000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Shangisha, GRA Phase 2, Magodo, Lagos",3300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Abule Parapo,, Ibeju Lekki, Lagos",500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Awoyaya, Ibeju Lekki, Lagos",950000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Adeniyi Jones, Ikeja, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Isaac John Street, Ikeja GRA, Ikeja, Lagos",13000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Parapo,close To Busstop, Awoyaya, Ibeju Lekki, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Before Chevron, Igbo Efon, Lekki, Lagos",2700000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  GRA Phase 2, Magodo, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Unity Estate By Cooperative Bus, Badore, Ajah, Lagos",900000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Higher Ground Estate Close To Ogidan Bus Stop, Sangotedo, Ajah, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikeja GRA, Ikeja, Lagos",8000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orinbanwa, Ibeju Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Akoka, Yaba, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Thera Peace Zone Estate By Aptech Bus Stop, Sangotedo, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oribanwa, Ibeju Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Apptech Estate Close To Skymall, Sangotedo, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Right Side, Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",12000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Peninsula Garden Estate By Sky Mall Behind Blenco, Sangotedo, Ajah, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Sunshine Estate By Dkk Supermarket, Olokonla, Ajah, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ladilak, Pedro, Gbagada, Lagos",800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Bera Estate Chevron, Lekki, Lagos",650000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ogunfayo Palace Road, Ibeju Lekki, Lagos",650000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Uba Road, Awoyaya, Ibeju Lekki, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron, Lekki, Lagos",450000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ogunfayo Riad, Oribanwa, Ibeju Lekki, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Kajola, Lakowe, Ibeju Lekki, Lagos",550000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ologolo, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Tollgate, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",5500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Unity Estate, Badore, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  General Paint Bus Stop, Ajah, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Right, Lekki Phase 1, Lekki, Lagos",5500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Agunbiade Junction, Ogombo, Ajah, Lagos",550000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Kay's Court Around Abraham Adesanya, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ado, Ajah, Lagos",900000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Badore, Ajah, Lagos",850000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Conservation..lcc, Lekki, Lagos",450000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Osapa, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ikate, Lekki, Lagos",6500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Reservation Estate,ado- Langbasa,owode Bus Stop, Badore, Ajah, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",1800000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Agungi, Lekki, Lagos",2200000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron Tollgate, Lekki, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ologolo, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Chevron Tollgate, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  VGC, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Cedar View Estate Abraham Adesanya, Ajah, Lagos",2400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Happy Haven Estate, 107 Close, Mixed Development Area, Banana Island, Ikoyi, Lagos",6500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Megamound Estate, Lekki County, Ikota, Lekki, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Victoria Island (VI), Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Kayfarm Estate Obawole, Fagba, Agege, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Irawo, Kosofe, Lagos",320000
1 bedroom mini flat (room and parlour) for rent,1.0,3.0,3.0,"  Surulere, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Seaside Estate, Badore, Ajah, Lagos",700000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Badore, Ajah, Lagos",600000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Victoria Island (VI), Lagos",1700000
