apartment_type,bedroom,bathroom,toilet,location,price
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ilasan, Ilasan, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ori-oke, Ogudu, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Myca Court 7, Van Daniel Estate Orchid Road, Lekki Expressway, Lekki, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Abiodun, Ojodu, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Secure Estate Chisco, Ikate Elegushi, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Salem/ Ilasan, Ilasan, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Dunvale Court , Coleman Nwafor Street Orchid, Lekki Expressway, Lekki, Lagos",450000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Sangotedo, Sangotedo, Ajah, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  An Estate On Abraham Adesanya Road, Ajah, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Adekunle, Yaba, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Osapa London, Osapa, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Ayinde Akinmade, Lekki Phase 1, Lekki, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikota, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Silverpoint, Badore, Ajah, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Pedro Off Charly Boy, Pedro, Gbagada, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ologolo, Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ajah, Lagos, Lekki Phase 2, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki County, Lekki Phase 2, Lekki, Lagos",3500000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Lekki County, Lekki Phase 2, Lekki, Lagos",5500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Chevron Toll Gate, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Chevron, Lekki, Lagos",2700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Abraham Adesanya, Ajah, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Hakeem Dickson, Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Otedola Estate, Omole Phase 2, Ikeja, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Gra, Lekki, Lagos",1900000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Fara Park, Sangotedo, Ajah, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Olokonla, Sangotedo, Ajah, Lagos",500000
4 bedroom flat / apartment for rent,4.0,5.0,5.0,"  Beach Road Estate Abraham Adesunya, Lekki Phase 2, Lekki, Lagos",4000000
